row_id,game_a,text_a,level_id_a,game_b,text_b,level_id_b,blend_type,text_c
0,the_legend_of_zelda,waterfloor zigzag path through floor grid,192,super_mario_bros,ground with pipe on right and stepped breakable block pillars on left,9,concat,ground with pipe on right and stepped breakable block pillars on left waterfloor zigzag path through floor grid
0,the_legend_of_zelda,waterfloor zigzag path through floor grid,192,super_mario_bros,ground with pipe on right and stepped breakable block pillars on left,9,mix,A gridded ground is cut by a zigzagging waterfloor path that winds between stepped breakable block pillars on the left and a pipe set into the right side.
0,the_legend_of_zelda,waterfloor zigzag path through floor grid,192,super_mario_bros,ground with pipe on right and stepped breakable block pillars on left,9,a_base,waterfloor zigzag path through floor grid with a pipe on the right and stepped breakable block pillars on the left
0,the_legend_of_zelda,waterfloor zigzag path through floor grid,192,super_mario_bros,ground with pipe on right and stepped breakable block pillars on left,9,b_base,ground with pipe on right and stepped breakable block pillars on left with a waterfloor zigzag path through the floor grid
1,dungeon,central cross path with scattered bats and surrounding walls,37,super_mario_bros,two separated ground platforms with goomba on left and coins at edges,145,concat,two separated ground platforms with goomba on left and coins at edges central cross path with scattered bats and surrounding walls
1,dungeon,central cross path with scattered bats and surrounding walls,37,super_mario_bros,two separated ground platforms with goomba on left and coins at edges,145,mix,"Two raised ground platforms sit apart on either side of a central cross shaped path, with a goomba patrolling the left platform while coins glint along the platform edges, and scattered bats flit through the open intersections as surrounding walls enclose the space."
1,dungeon,central cross path with scattered bats and surrounding walls,37,super_mario_bros,two separated ground platforms with goomba on left and coins at edges,145,a_base,"Central cross path with scattered bats and surrounding walls, featuring two separated ground platforms with a goomba on the left and coins at the edges"
1,dungeon,central cross path with scattered bats and surrounding walls,37,super_mario_bros,two separated ground platforms with goomba on left and coins at edges,145,b_base,"Two separated ground platforms with a goomba on the left and coins at the edges, connected by a central cross path with scattered bats and surrounding walls"
2,the_legend_of_zelda,square floor room with central blocks and side doors,168,super_mario_bros,two elevated ground platforms with goomba on top and coins upper right,528,concat,two elevated ground platforms with goomba on top and coins upper right square floor room with central blocks and side doors
2,the_legend_of_zelda,square floor room with central blocks and side doors,168,super_mario_bros,two elevated ground platforms with goomba on top and coins upper right,528,mix,"Inside a square-floored room, two raised platforms flank a cluster of central blocks while side doors open from the walls, a goomba patrols atop one of the elevated ledges, and a small arc of coins glints in the upper right above the platforms."
2,the_legend_of_zelda,square floor room with central blocks and side doors,168,super_mario_bros,two elevated ground platforms with goomba on top and coins upper right,528,a_base,"Square floor room with central blocks and side doors, featuring two elevated ground platforms with a goomba on top and coins in the upper right"
2,the_legend_of_zelda,square floor room with central blocks and side doors,168,super_mario_bros,two elevated ground platforms with goomba on top and coins upper right,528,b_base,A square floor room with central blocks and side doors featuring two elevated ground platforms with a goomba on top and coins in the upper right
3,lode_runner,ground border diggable ground central block ladders right and top rope top gold scattered enemy,249,dungeon,walls form central blocks with bats clustered in lower left and right,257,concat,ground border diggable ground central block ladders right and top rope top gold scattered enemy walls form central blocks with bats clustered in lower left and right
3,lode_runner,ground border diggable ground central block ladders right and top rope top gold scattered enemy,249,dungeon,walls form central blocks with bats clustered in lower left and right,257,mix,"A diggable ground border encloses a central block of walls with ladders rising along the right side and up to the top where a rope spans the upper edge, while gold lies scattered nearby and enemies patrol as bats cluster in the lower left and lower right."
3,lode_runner,ground border diggable ground central block ladders right and top rope top gold scattered enemy,249,dungeon,walls form central blocks with bats clustered in lower left and right,257,a_base,ground border diggable ground walls form central blocks central block ladders right and top rope top gold scattered enemy with bats clustered in lower left and right
3,lode_runner,ground border diggable ground central block ladders right and top rope top gold scattered enemy,249,dungeon,walls form central blocks with bats clustered in lower left and right,257,b_base,"Walls form central blocks with bats clustered in the lower left and right, bordered by diggable ground with central block ladders on the right and top, a rope at the top, scattered gold, and an enemy."
4,dungeon,walls form central open area with bats around edges and bottom path,122,the_legend_of_zelda,floor with diagonal wall zigzag in right half,175,concat,floor with diagonal wall zigzag in right half walls form central open area with bats around edges and bottom path
4,dungeon,walls form central open area with bats around edges and bottom path,122,the_legend_of_zelda,floor with diagonal wall zigzag in right half,175,mix,"The walls shape a central open area where bats gather along the edges while a path runs along the bottom, and the floor is defined by a diagonal zigzag wall that cuts through the right half of the space."
4,dungeon,walls form central open area with bats around edges and bottom path,122,the_legend_of_zelda,floor with diagonal wall zigzag in right half,175,a_base,"Walls form a central open area with bats around the edges and a bottom path, and the floor has a diagonal wall zigzag in the right half"
